window,timestamp_s,predicted_class,confidence,p_clean,p_jam_am,p_jam_chirp,p_jam_dme,p_jam_fm,p_jam_narrowband,p_spoof_dynamic,p_spoof_matched_time,p_spoof_overpowered_gradual,p_spoof_overpowered_instant,p_spoof_position_push,preproc_gpu_ms,infer_gpu_ms,pipeline_ms
0,0.197,clean,0.470136,0.470136,0.002853,0.003836,0.030057,0.007089,0.020070,0.104518,0.012431,0.023846,0.292804,0.032360,83.038,5.088,89.332
1,0.256,clean,0.644705,0.644705,0.001814,0.003916,0.007374,0.003455,0.036939,0.070420,0.004713,0.020636,0.174709,0.031319,21.178,4.468,26.149
2,0.309,clean,0.621825,0.621825,0.002103,0.004072,0.010467,0.004386,0.038871,0.075239,0.006391,0.022616,0.179859,0.034171,19.644,4.475,24.700
3,0.367,clean,0.586001,0.586001,0.002427,0.003591,0.016461,0.005221,0.030650,0.091678,0.007301,0.025593,0.191896,0.039182,23.651,4.479,28.805
4,0.426,clean,0.568613,0.568613,0.002493,0.003379,0.020443,0.006028,0.031015,0.097190,0.008291,0.026639,0.196412,0.039497,20.748,4.444,25.789
5,0.484,clean,0.612519,0.612519,0.002232,0.004184,0.010169,0.004380,0.038097,0.076048,0.006913,0.023628,0.182503,0.039327,19.634,4.448,24.653
6,0.541,clean,0.634032,0.634032,0.001917,0.004092,0.007840,0.003635,0.036554,0.069577,0.005178,0.021446,0.181424,0.034305,19.001,4.437,24.008
7,0.599,clean,0.671528,0.671528,0.001495,0.004975,0.003344,0.002686,0.047326,0.053280,0.003530,0.019547,0.162680,0.029609,19.168,4.454,24.233
8,0.658,clean,0.651785,0.651785,0.001696,0.004847,0.004406,0.002922,0.042659,0.058808,0.004019,0.020832,0.176914,0.031113,20.241,4.473,25.267
9,0.713,clean,0.625318,0.625318,0.002071,0.004181,0.008947,0.003864,0.036795,0.074706,0.005365,0.022085,0.183227,0.033440,18.595,4.430,23.588
10,0.770,clean,0.534794,0.534794,0.002470,0.003060,0.025429,0.005862,0.020729,0.103274,0.010399,0.023354,0.233499,0.037130,18.641,4.442,23.640
11,0.826,clean,0.620068,0.620068,0.001930,0.004191,0.007792,0.003824,0.036683,0.069176,0.005803,0.021133,0.194859,0.034541,18.990,4.425,24.004
12,0.882,clean,0.542362,0.542362,0.003003,0.003647,0.023196,0.005551,0.023427,0.102970,0.011270,0.024904,0.217342,0.042328,18.649,4.455,23.691
13,0.940,clean,0.478320,0.478320,0.002955,0.002838,0.055961,0.008699,0.015983,0.110201,0.014874,0.023285,0.250415,0.036469,20.383,4.478,25.399
14,0.997,clean,0.529953,0.529953,0.002861,0.003508,0.026624,0.006576,0.025892,0.097334,0.012175,0.025244,0.226979,0.042854,20.301,4.479,25.340
15,1.055,clean,0.486834,0.486834,0.002309,0.002547,0.038269,0.006611,0.012669,0.106714,0.011208,0.020699,0.283232,0.028908,21.160,4.430,26.223
16,1.114,clean,0.495641,0.495641,0.002651,0.002984,0.040395,0.007385,0.017317,0.113995,0.012918,0.022433,0.248503,0.035780,21.311,4.469,26.361
17,1.173,clean,0.497546,0.497546,0.003018,0.004239,0.022884,0.006607,0.025850,0.093978,0.011780,0.026385,0.265744,0.041970,21.111,4.481,26.133
18,1.231,clean,0.486507,0.486507,0.002912,0.002865,0.050210,0.008321,0.017201,0.119661,0.012991,0.024142,0.239000,0.036191,20.475,4.502,25.583
19,1.289,clean,0.483049,0.483049,0.002224,0.002041,0.060139,0.006927,0.008814,0.092190,0.011265,0.016017,0.295409,0.021923,20.665,4.489,25.715
20,1.347,clean,0.481153,0.481153,0.002648,0.002606,0.058998,0.007908,0.012368,0.100559,0.013854,0.018810,0.274319,0.026776,20.954,4.468,26.040
21,1.403,clean,0.503887,0.503887,0.002437,0.002487,0.044723,0.007114,0.014067,0.109653,0.010935,0.021090,0.252487,0.031119,19.248,4.459,24.320
